file_path,line_numbers,texts
online-editor/src/json/JsonParse.ts,[23],"[""string""]"
online-editor/src/gitRefs/GitRefs.ts,"[21, 24, 25]","[""branch"", ""tag"", ""other""]"
online-editor/src/settings/ExtendedServicesSettingsTab.tsx,"[54, 59, 61, 67, 69, 77, 78, 84, 87, 97, 98, 104, 107, 117, 118]","[""100%"", ""polite"", ""polite"", ""default"", ""Host"", ""host"", ""default"", ""default"", ""Port"", ""port"", ""default"", ""save""]"
online-editor/src/settings/CorsProxySettingsTab.tsx,"[40, 45, 46, 53, 56, 63]","[""100%"", ""default"", ""URL"", ""url"", ""default"", ""small""]"
online-editor/src/settings/EditorsSettingsTab.tsx,"[46, 52, 56]","[""100%"", ""small"", ""small""]"
online-editor/src/settings/SettingsModalBody.tsx,"[29, 30, 31]","[""extendedServices"", ""corsProxy"", ""editors""]"
online-editor/src/settings/SettingsContext.tsx,"[57, 75, 78, 86, 105, 148]","[""settings"", ""settings"", ""settings"", ""settings"", ""settings"", ""0.0.0.0"", ""localhost""]"
online-editor/src/responsiveBreakpoints/ResponsiveBreakpoints.ts,"[35, 44]","[""2xl""]"
online-editor/src/filesList/FileLabel.tsx,"[23, 25, 26, 27, 30, 31, 32, 33, 41, 45]","[""工作流"", ""决策"", ""计分卡"", ""hidden""]"
online-editor/src/filesList/FileDataList.tsx,"[53, 54, 55, 73, 83, 91, 102, 124, 125, 126, 149, 230, 253, 260, 261, 262]","[""enabled"", ""readonly"", ""deleted"", ""nowrap"", ""alignLeft"", "" (Deleted)"", ""alignRight"", ""nowrap"", ""hidden"", ""ellipsis"", ""link"", ""link"", ""nowrap"", ""nowrap"", ""hidden"", ""ellipsis""]"
online-editor/src/importFromUrl/NewWorkspaceFromUrlPage.tsx,"[81, 82, 112, 134, 155, 177, 301, 428, 442, 466, 474, 481, 485]","[""string"", ""true"", ""function"", ""function"", ""function"", ""function"", ""Auth session '${queryParamAuthSessionId}' not found."", ""true"", ""true"", ""noPadding"", ""true"", ""Importing '${queryParamUrl}'"", ""true""]"
online-editor/src/importFromUrl/ImportSingleFileFromUrlForm.tsx,"[101, 104, 106, 111, 112]","[""URL"", ""hidden"", ""url"", ""url"", ""url""]"
online-editor/src/importFromUrl/NewWorkspaceWithEmptyFilePage.tsx,[63],"[""noPadding""]"
online-editor/src/importFromUrl/AdvancedImportModalContent.tsx,"[104, 105, 112, 113, 155, 173, 174, 182, 188, 197, 198, 204, 222]","[""confirm"", ""cancel"", ""link"", ""button"", ""url"", ""URL"", ""sm"", ""text"", ""hidden"", ""gitRefName"", ""sm""]"
online-editor/src/importFromUrl/ImportableUrlHooks.tsx,"[407, 474, 482, 506, 515, 540, 548, 562, 573, 574, 576]","[""git"", ""Selected ref '${gitRefName || gitRefNameFromUrl}' does not exist."", ""Can't determine Git refs for '${importableUrl.url.toString()}'"", ""Can't determine Git refs without URL."", ""HEAD"", ""sm"", ""sm"", ""git"", ""hidden"", ""flex"", ""nowrap"", ""hidden"", ""justifyContentFlexStart"", ""inline-flex""]"
online-editor/src/importFromUrl/ImportFromUrlHomePageCard.tsx,"[66, 139, 145, 146, 147, 159, 180, 183, 187, 199]","[""git"", ""justifyContentSpaceBetween"", ""nowrap"", ""nowrap"", ""hidden"", ""ellipsis"", ""url"", ""url"", ""URL"", ""submit""]"
online-editor/src/navigation/NavigationContextProvider.tsx,[103],"[""REPLACE""]"
